FIPS Code,State,do_not_use,County,RUCA code,Tract Pop,Area sq mi,Pop Density
53053,WA,Pierce,Pierce,1,4808,0.607973087,7908.244792
53053,WA,Pierce,Pierce,1,4442,0.357858801,12412.71694
53053,WA,Pierce,Pierce,1,4742,0.45231947,10483.74061
53053,WA,Pierce,Pierce,1,1824,0.294014104,6203.78403
53053,WA,Pierce,Pierce,1,956,0.408215791,2341.898626
53053,WA,Pierce,Pierce,1,4578,1.019096227,4492.215629
53053,WA,Pierce,Pierce,1,2880,0.534063092,5392.621288
53053,WA,Pierce,Pierce,1,1961,0.40149491,4884.246224
53053,WA,Pierce,Pierce,1,4228,0.797431108,5302.025415
53053,WA,Pierce,Pierce,1,5244,0.948263853,5530.106398
53053,WA,Pierce,Pierce,1,5471,0.875127221,6251.662468
53053,WA,Pierce,Pierce,1,7073,1.120080479,6314.724818
53053,WA,Pierce,Pierce,1,2977,2.68253405,1109.771561
53053,WA,Pierce,Pierce,1,6130,1.456833777,4207.755269
53053,WA,Pierce,Pierce,1,4112,1.158752473,3548.643991
53053,WA,Pierce,Pierce,1,7365,1.151338539,6396.902171
53053,WA,Pierce,Pierce,1,2956,0.851321705,3472.247897
53053,WA,Pierce,Pierce,1,4270,0.903950134,4723.711894
53053,WA,Pierce,Pierce,1,4855,0.91161349,5325.721978
53053,WA,Pierce,Pierce,1,7857,1.302358544,6032.900876
53053,WA,Pierce,Pierce,1,7592,1.490492234,5093.619294
53053,WA,Pierce,Pierce,1,4164,0.739443967,5631.258335
53053,WA,Pierce,Pierce,1,5179,0.744215031,6959.01021
53053,WA,Pierce,Pierce,2,3406,732.5729467,4.64936634
53053,WA,Pierce,Pierce,1,5203,13.75256912,378.3293109
53053,WA,Pierce,Pierce,1,3598,1.998823933,1800.058495
53053,WA,Pierce,Pierce,1,3458,7.412590715,466.5035658
53053,WA,Pierce,Pierce,1,4172,15.05236086,277.1658239
53053,WA,Pierce,Pierce,1,4948,12.65967989,390.8471654
53053,WA,Pierce,Pierce,1,4876,10.91355829,446.7837044
53053,WA,Pierce,Pierce,1,3782,1.242765217,3043.213591
53053,WA,Pierce,Pierce,1,5601,4.465993279,1254.144297
53053,WA,Pierce,Pierce,1,5178,2.171130137,2384.933042
53053,WA,Pierce,Pierce,1,4624,1.924776099,2402.357345
53053,WA,Pierce,Pierce,1,4869,3.207243431,1518.126112
53053,WA,Pierce,Pierce,1,6029,5.33617067,1129.836426
53053,WA,Pierce,Pierce,1,2880,1.583549808,1818.698715
53053,WA,Pierce,Pierce,1,4597,3.778670789,1216.565363
53053,WA,Pierce,Pierce,1,5207,1.342578035,3878.359294
53053,WA,Pierce,Pierce,1,2046,3.626726456,564.1451113
53053,WA,Pierce,Pierce,1,3693,5.389752771,685.1891278
53053,WA,Pierce,Pierce,1,4465,1.942850314,2298.169842
53053,WA,Pierce,Pierce,1,6065,2.21849329,2733.837432
53053,WA,Pierce,Pierce,1,2362,2.514515897,939.345821
53053,WA,Pierce,Pierce,1,4668,3.020009359,1545.690574
53053,WA,Pierce,Pierce,1,6589,3.044223757,2164.426969
53053,WA,Pierce,Pierce,1,5671,1.873580881,3026.824225
53053,WA,Pierce,Pierce,1,7128,1.423050609,5008.957486
53053,WA,Pierce,Pierce,1,4205,0.897566321,4684.890579
53053,WA,Pierce,Pierce,1,4515,3.332850191,1354.696353
53053,WA,Pierce,Pierce,1,5895,2.06427636,2855.722284
53053,WA,Pierce,Pierce,1,3705,3.843182285,964.0448267
53053,WA,Pierce,Pierce,1,6166,4.724680964,1305.061664
53053,WA,Pierce,Pierce,1,4629,2.008706218,2304.468398
53053,WA,Pierce,Pierce,1,4335,1.596008167,2716.151515
53053,WA,Pierce,Pierce,1,4571,2.508899655,1821.914237
53053,WA,Pierce,Pierce,1,3994,1.979087934,2018.101334
53053,WA,Pierce,Pierce,1,6126,6.33969308,966.2928352
53053,WA,Pierce,Pierce,1,6632,3.259071857,2034.935188
53053,WA,Pierce,Pierce,1,4005,1.128905617,3547.683652
53053,WA,Pierce,Pierce,1,4409,0.820804575,5371.558753
53053,WA,Pierce,Pierce,1,5724,2.264012806,2528.25425
53053,WA,Pierce,Pierce,1,4725,1.304822262,3621.182853
53053,WA,Pierce,Pierce,1,5115,2.173735168,2353.092537
53053,WA,Pierce,Pierce,1,5539,1.023762272,5410.435753
53053,WA,Pierce,Pierce,1,5202,1.736014993,2996.517899
53053,WA,Pierce,Pierce,1,5314,1.518186957,3500.227674
53053,WA,Pierce,Pierce,1,4920,1.556921499,3160.082254
53053,WA,Pierce,Pierce,1,7355,1.81216245,4058.686902
53053,WA,Pierce,Pierce,1,3670,0.336243257,10914.71703
53053,WA,Pierce,Pierce,1,4360,0.522249138,8348.505884
53053,WA,Pierce,Pierce,1,3768,0.922669912,4083.800665
53053,WA,Pierce,Pierce,1,1909,0.626571243,3046.740529
53053,WA,Pierce,Pierce,1,2853,0.490084124,5821.449544
53053,WA,Pierce,Pierce,1,5254,1.77679356,2957.012068
53053,WA,Pierce,Pierce,1,3625,0.520924807,6958.777829
53053,WA,Pierce,Pierce,1,4213,0.658843593,6394.537405
53053,WA,Pierce,Pierce,1,3480,1.599632508,2175.499674
53053,WA,Pierce,Pierce,1,3920,0.754950988,5192.390051
53053,WA,Pierce,Pierce,1,4713,1.605214001,2936.057122
53053,WA,Pierce,Pierce,1,5183,2.43804064,2125.887451
53053,WA,Pierce,Pierce,1,4779,1.037145732,4607.838467
53053,WA,Pierce,Pierce,1,5230,1.803293297,2900.249232
53053,WA,Pierce,Pierce,1,5921,1.313765546,4506.892433
53053,WA,Pierce,Pierce,1,4197,1.886760479,2224.447696
53053,WA,Pierce,Pierce,1,5648,1.239493002,4556.701807
53053,WA,Pierce,Pierce,1,3468,1.568037767,2211.681423
53053,WA,Pierce,Pierce,1,2514,0.751962943,3343.249853
53053,WA,Pierce,Pierce,1,4369,0.929712802,4699.300678
53053,WA,Pierce,Pierce,1,5903,1.570113452,3759.600933
53053,WA,Pierce,Pierce,1,4357,0.754346352,5775.861429
53053,WA,Pierce,Pierce,1,6886,2.995561755,2298.734115
53053,WA,Pierce,Pierce,1,5892,1.305875162,4511.916736
53053,WA,Pierce,Pierce,1,3803,0.810421129,4692.621974
53053,WA,Pierce,Pierce,1,4231,0.943518271,4484.27988
53053,WA,Pierce,Pierce,1,5612,0.953812141,5883.758193
53053,WA,Pierce,Pierce,1,3797,0.987890291,3843.5442
53053,WA,Pierce,Pierce,1,4107,4.726471706,868.9357
53053,WA,Pierce,Pierce,1,5831,6.478143142,900.1036057
53053,WA,Pierce,Pierce,1,4790,2.131539606,2247.20197
53053,WA,Pierce,Pierce,1,5919,5.90986715,1001.545356
53053,WA,Pierce,Pierce,1,2510,2.259744833,1110.744879
53053,WA,Pierce,Pierce,1,3633,5.218055837,696.2363213
53053,WA,Pierce,Pierce,1,4186,6.375153476,656.6116433
53053,WA,Pierce,Pierce,1,4638,5.807197562,798.664063
53053,WA,Pierce,Pierce,1,6904,8.363282378,825.5132002
53053,WA,Pierce,Pierce,1,3438,5.911515806,581.5767246
53053,WA,Pierce,Pierce,1,2643,1.632752739,1618.738672
53053,WA,Pierce,Pierce,1,5235,17.20168163,304.330711
53053,WA,Pierce,Pierce,1,3898,16.69912563,233.4253952
53053,WA,Pierce,Pierce,2,6462,35.08792473,184.1659217
53053,WA,Pierce,Pierce,1,8267,6.868220625,1203.659645
53053,WA,Pierce,Pierce,1,2507,7.041128762,356.050867
53053,WA,Pierce,Pierce,1,2716,10.41460733,260.7875568
53053,WA,Pierce,Pierce,1,5214,2.24624477,2321.207408
53053,WA,Pierce,Pierce,1,1392,88.12700754,15.79538485
53053,WA,Pierce,Pierce,1,4679,6.251180314,748.4986458
53053,WA,Pierce,Pierce,2,6082,24.84939197,244.7544796
53053,WA,Pierce,Pierce,2,5431,20.78362989,261.3114278
53053,WA,Pierce,Pierce,2,3828,45.95373067,83.30118021
53053,WA,Pierce,Pierce,1,7451,3.823229683,1948.875851
53053,WA,Pierce,Pierce,1,3864,2.186326732,1767.347919
53053,WA,Pierce,Pierce,1,4346,1.437386196,3023.543715
53053,WA,Pierce,Pierce,1,6364,7.140729223,891.2255039
53053,WA,Pierce,Pierce,1,5610,2.665403855,2104.746712
53053,WA,Pierce,Pierce,1,4449,2.645074803,1681.994019
53053,WA,Pierce,Pierce,1,3352,6.210920668,539.6945443
53053,WA,Pierce,Pierce,2,3791,19.08575522,198.6298135
53053,WA,Pierce,Pierce,1,4601,11.94091903,385.3137257
53053,WA,Pierce,Pierce,2,3154,37.04070598,85.14956496
53053,WA,Pierce,Pierce,1,3412,1.275470774,2675.090695
53053,WA,Pierce,Pierce,1,4708,1.099894671,4280.409864
53053,WA,Pierce,Pierce,1,4392,1.942951473,2260.478484
53053,WA,Pierce,Pierce,1,4549,3.694310167,1231.353025
53053,WA,Pierce,Pierce,1,2793,1.51259697,1846.493188
53053,WA,Pierce,Pierce,1,9584,2.416054823,3966.797403
53053,WA,Pierce,Pierce,1,3616,0.541938804,6672.340071
53053,WA,Pierce,Pierce,2,6220,211.5260349,29.40536376
53053,WA,Pierce,Pierce,1,5467,5.616588957,973.3665828
53053,WA,Pierce,Pierce,1,4033,1.146676741,3517.120261
53053,WA,Pierce,Pierce,1,6099,2.459782053,2479.487966
53053,WA,Pierce,Pierce,1,3649,1.146774039,3181.969486
53053,WA,Pierce,Pierce,1,4775,1.682897372,2837.368504
53053,WA,Pierce,Pierce,1,3608,0.904499944,3988.944417
53053,WA,Pierce,Pierce,1,4124,1.059434638,3892.642218
53053,WA,Pierce,Pierce,1,7030,6.31788989,1112.713283
53053,WA,Pierce,Pierce,1,2760,1.174436716,2350.062769
53053,WA,Pierce,Pierce,1,3945,5.159820432,764.5614905
53053,WA,Pierce,Pierce,1,6790,1.57721503,4305.056617
53053,WA,Pierce,Pierce,1,6504,6.917978384,940.1590521
53053,WA,Pierce,Pierce,1,5839,1.646138129,3547.089942
53053,WA,Pierce,Pierce,1,2447,0.704757319,3472.117185
53053,WA,Pierce,Pierce,1,3150,0.963734967,3268.533474
53053,WA,Pierce,Pierce,1,5902,1.179171873,5005.207584
53053,WA,Pierce,Pierce,1,2845,3.047049639,933.6900731
53053,WA,Pierce,Pierce,1,3985,3.433016292,1160.786801
53053,WA,Pierce,Pierce,1,4106,1.447342227,2836.924069
53055,WA,San,San Juan,10,5354,64.62756546,82.84390666
53055,WA,San,San Juan,10,4761,55.37121948,85.98329682
53055,WA,San,San Juan,10,2901,5.831557521,497.4657267
